word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,key_instruct.started,instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,fixation.started,fixationCross.started,fixation.stopped,trial.started,Stimulus.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
blue,green,0,g,2,0,32,6,70.57144139998127,,,,,,,,70.56006689998321,70.57144139998127,71.75649139995221,71.75653709995095,71.77120560000185,72.27127149992157,73.00630519993138,g,1,0.7265757999848574,None,71.77120560000185,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,yellow,0,y,2,1,33,4,73.0208359999815,,,,,,,,73.00712580000982,73.0208359999815,74.20535770000424,74.20538399997167,74.22070209996309,74.72073880000971,75.0231466999976,y,1,0.30042919993866235,None,74.22070209996309,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,red,0,r,2,2,34,13,75.03736880002543,,,,,,,,75.02400480001234,75.03736880002543,76.22163179994095,76.22166049992666,76.23715399997309,76.73724519996904,76.98973899998236,r,1,0.25029970007017255,None,76.23715399997309,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,red,1,r,2,3,35,0,77.00390319991857,,,,,,,,76.99087480001617,77.00390319991857,78.18819229991641,78.18822219991125,78.20383509993553,78.7034677999327,78.90537819999736,r,1,0.18719269998837262,None,78.20383509993553,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,green,1,g,2,4,36,3,78.9204480999615,,,,,,,,78.90618589997757,78.9204480999615,80.10483239998575,80.10485799994785,80.12023469991982,80.62065429997165,80.82178839994594,g,1,0.18593390006572008,None,80.12023469991982,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,red,0,r,2,5,37,10,80.8365317999851,,,,,,,,80.8225972999353,80.8365317999851,82.02075799996965,82.02078419993632,82.03626189997885,82.5365112000145,82.93787469994277,r,1,0.3855191000038758,None,82.03626189997885,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,yellow,0,y,2,6,38,14,82.95277670002542,,,,,,,,82.93873900000472,82.95277670002542,84.13729510002304,84.13732179999352,84.15407299995422,84.65267689991742,85.08725989994127,y,1,0.42240669997408986,None,84.15407299995422,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,blue,0,b,2,7,39,8,85.1025784999365,,,,,,,,85.0881090000039,85.1025784999365,86.28677050000988,86.28679779998492,86.30248329997994,86.8024952999549,87.10461949999444,b,1,0.2865849999943748,None,86.30248329997994,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,red,0,r,2,8,40,7,87.11937380000018,,,,,,,,87.10580339992885,87.11937380000018,88.30418689991347,88.3042253999738,88.318895699922,88.81912869994994,89.17108230001759,r,1,0.34122760000173,None,88.318895699922,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,green,0,g,2,9,41,12,89.18581329996232,,,,,,,,89.17208209994715,89.18581329996232,90.37068749999162,90.3707322999835,90.38523070001975,90.88534629996866,91.08594519994222,g,1,0.1944896999048069,None,90.38523070001975,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
